Export;EXP-2023-01 (20230706 14:53);;;StationsCode;NL10131;NL10444;NL10538;NL10633;NL10738
Periode;20180101 00:00 - 20190101 00:00;;;BeheerderMeetStation;RIVM;RIVM;RIVM;RIVM;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Vredepeel-Vredeweg;De Zilk-Vogelaarsdreef;Wieringerwerf-Medemblikkerweg;Zegveld-Oude Meije;Wekerom-Riemterdijk
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.54052,5.85307);(52.296556,4.510817);(52.803657,5.050509);(52.13795,4.83819);(52.111621,5.708419)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;regionaal;regionaal;regionaal;regionaal
;;;;StationsType;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond
;;;;Meetprincipe;Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS);Differentiële optische absorptiespectroscopie (DOAS)
;;;;Meetopstelling;miniDOAS;miniDOAS;miniDOAS;miniDOAS;miniDOAS
;;;;Accreditatienummer;nvt;nvt;nvt;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10131;NL10444;NL10538;NL10633;NL10738
NH3;uur;µg/m³;20180109 23:00;20180110 00:00;16.544;1.29;8.069;8.672;9.9
NH3;uur;µg/m³;20180110 00:00;20180110 01:00;16.687;1.377;7.967;10.82;10.995
NH3;uur;µg/m³;20180110 01:00;20180110 02:00;18.188;1.522;8.521;9.44;10.815
NH3;uur;µg/m³;20180110 02:00;20180110 03:00;16.109;1.739;8.196;7.075;11.258
NH3;uur;µg/m³;20180110 03:00;20180110 04:00;17.468;2.475;9.217;7.283;10.295
NH3;uur;µg/m³;20180110 04:00;20180110 05:00;17.797;3.254;10.426;6.184;11.199
NH3;uur;µg/m³;20180110 05:00;20180110 06:00;21.409;3.924;9.679;5.942;8.727
NH3;uur;µg/m³;20180110 06:00;20180110 07:00;19.932;3.515;10.292;6.737;9.657
NH3;uur;µg/m³;20180110 07:00;20180110 08:00;13.654;3.118;10.225;5.786;8.057
NH3;uur;µg/m³;20180110 08:00;20180110 09:00;12.835;;10.126;4.989;10.191
NH3;uur;µg/m³;20180110 09:00;20180110 10:00;6.633;3.133;10.491;4.719;
NH3;uur;µg/m³;20180110 10:00;20180110 11:00;8.025;2.859;10.141;3.66;7.139
NH3;uur;µg/m³;20180110 11:00;20180110 12:00;7.528;2.416;10.743;3.595;8.281
NH3;uur;µg/m³;20180110 12:00;20180110 13:00;7.67;1.165;8.449;3.442;7.677
NH3;uur;µg/m³;20180110 13:00;20180110 14:00;8.765;0.618;6.96;3.185;5.56
NH3;uur;µg/m³;20180110 14:00;20180110 15:00;7.054;0.694;6.401;4.155;4.126
NH3;uur;µg/m³;20180110 15:00;20180110 16:00;8.863;0.647;5.627;3.391;6.253
NH3;uur;µg/m³;20180110 16:00;20180110 17:00;13.136;0.979;6.508;5.027;11.54
NH3;uur;µg/m³;20180110 17:00;20180110 18:00;9.113;1.238;6.866;5.693;13.576
NH3;uur;µg/m³;20180110 18:00;20180110 19:00;12.542;1.566;6.936;5.111;11.362
NH3;uur;µg/m³;20180110 19:00;20180110 20:00;15.594;2.147;6.992;5.916;10.743
NH3;uur;µg/m³;20180110 20:00;20180110 21:00;17.565;2.593;5.981;7.453;8.017
NH3;uur;µg/m³;20180110 21:00;20180110 22:00;11.314;2.207;6.324;10.701;10.627
NH3;uur;µg/m³;20180110 22:00;20180110 23:00;11.581;2.438;6.662;5.899;9.396
NH3;uur;µg/m³;20180110 23:00;20180111 00:00;10.343;2.433;6.592;5.2;10.588
NH3;uur;µg/m³;20180111 00:00;20180111 01:00;8.528;2.212;6.724;5.603;9.006
NH3;uur;µg/m³;20180111 01:00;20180111 02:00;8.156;2.634;6.314;7.857;10.023
NH3;uur;µg/m³;20180111 02:00;20180111 03:00;8.306;;;6.636;13.308
NH3;uur;µg/m³;20180111 03:00;20180111 04:00;13.118;;;7.634;12.486
NH3;uur;µg/m³;20180111 04:00;20180111 05:00;22.483;;;9.584;12.041
NH3;uur;µg/m³;20180111 05:00;20180111 06:00;21.779;;;15.193;8.581
NH3;uur;µg/m³;20180111 06:00;20180111 07:00;46.159;;;16.471;9.108
NH3;uur;µg/m³;20180111 07:00;20180111 08:00;39.459;;8.508;13.944;19.388
NH3;uur;µg/m³;20180111 08:00;20180111 09:00;46.819;;;9.909;20.506
NH3;uur;µg/m³;20180111 09:00;20180111 10:00;30.016;1.07;;4.071;19.83
NH3;uur;µg/m³;20180111 10:00;20180111 11:00;47.087;0.242;;5.31;19.182
NH3;uur;µg/m³;20180111 11:00;20180111 12:00;57.78;;6.817;8.104;24.907
NH3;uur;µg/m³;20180111 12:00;20180111 13:00;51.831;-0.1;;6.083;17.938
