Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L224;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01495;NL01496;NL10133;NL10318;NL10444;NL10644;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20180102 07:00;20180102 08:00;15.2;15.1;2.1;1.1;;;0.39;;-0.19;0.19;-0.12;0.2;;1.9;1.6
SO2;uur;µg/m³;20180102 08:00;20180102 09:00;8.2;0.9;2.2;0.9;;;0.45;;0.12;0.2;-0.1;0.2;;2.1;1.8
SO2;uur;µg/m³;20180102 09:00;20180102 10:00;5.9;1;0.6;1;;;0.49;;0.49;0.2;-0.12;0.2;2.6;2.2;1.4
SO2;uur;µg/m³;20180102 10:00;20180102 11:00;6.3;0.3;1.3;0.9;;;0.54;;1.11;0.22;-0.12;0.1;2.6;1.9;1.6
SO2;uur;µg/m³;20180102 11:00;20180102 12:00;2.9;-0.2;1.6;2.6;;;0.49;;1.09;0.25;-0.07;0.1;2.9;2.5;1.6
SO2;uur;µg/m³;20180102 12:00;20180102 13:00;1.5;-0.2;1.9;2.2;;;0.43;;0.21;0.35;-0.08;0.1;2.2;2.4;1.8
SO2;uur;µg/m³;20180102 13:00;20180102 14:00;4.3;-0.1;1.3;2.4;;;0.41;;-0.12;0.35;-0.12;0.1;0.2;2.5;2.4
SO2;uur;µg/m³;20180102 14:00;20180102 15:00;7;1.3;1.6;2.2;;;1.22;;-0.07;0.36;-0.05;0.1;2.9;3.8;1.9
SO2;uur;µg/m³;20180102 15:00;20180102 16:00;5;1.9;2.3;3.8;;;1.83;;0.48;0.26;-0.02;0.2;1.9;12.6;3
SO2;uur;µg/m³;20180102 16:00;20180102 17:00;5;2.1;2.4;4.6;;;2.01;;0.96;0.37;0.03;0.4;2.3;19.1;4.5
SO2;uur;µg/m³;20180102 17:00;20180102 18:00;3.9;1.5;3.2;3.2;;;4.46;;1.08;0.41;0;0.3;3.2;9.5;4.5
SO2;uur;µg/m³;20180102 18:00;20180102 19:00;5.3;1.7;2.8;1.4;;;2.12;;0.67;0.37;0.06;0.2;2.3;13.9;3
SO2;uur;µg/m³;20180102 19:00;20180102 20:00;6;1.7;2.7;1.5;;;0.89;;0;0.34;0.22;0.1;1.7;7.2;2.2
SO2;uur;µg/m³;20180102 20:00;20180102 21:00;3.1;1.4;3.6;4.6;;;1.1;;-0.03;0.25;0.04;0.1;1.7;10.7;1.9
SO2;uur;µg/m³;20180102 21:00;20180102 22:00;7.8;1.5;4.1;2.3;;;0.96;;-0.11;0.3;-0.06;0.1;1.8;21.2;2.1
SO2;uur;µg/m³;20180102 22:00;20180102 23:00;5.3;1;4.5;2.7;;;1.02;;0.25;0.27;-0.1;0.1;2.2;15.2;2.1
SO2;uur;µg/m³;20180102 23:00;20180103 00:00;7.2;1.5;4.3;2.4;;;1.1;;0.2;0.23;-0.11;0.2;2.7;11.6;1.4
SO2;uur;µg/m³;20180103 00:00;20180103 01:00;3.4;1.8;4.3;4.4;;;0.65;;-0.23;0.19;-0.07;0.2;;16.4;1.4
SO2;uur;µg/m³;20180103 01:00;20180103 02:00;3.1;1.8;4.8;4.4;;;1.21;;-0.63;0.22;-0.14;0.1;1.9;10.2;1.3
SO2;uur;µg/m³;20180103 02:00;20180103 03:00;3.8;1.8;5.3;4.5;;;0.75;;-0.76;0.21;-0.13;0;2;13.8;0.9
SO2;uur;µg/m³;20180103 03:00;20180103 04:00;7.7;2.1;5.5;2.6;;;0.48;;-1.06;0.2;-0.16;0.1;1.4;5.4;0.7
SO2;uur;µg/m³;20180103 04:00;20180103 05:00;3.4;2.2;6;2.9;;;0.25;;-0.32;0.07;-0.06;0;2.1;2.7;0.8
SO2;uur;µg/m³;20180103 05:00;20180103 06:00;3.4;2.1;6.3;2.6;;;0.2;;0.08;0.06;-0.09;0;2.2;2.4;0.6
SO2;uur;µg/m³;20180103 06:00;20180103 07:00;3.5;4.4;6.3;2;;;0.15;;-0.8;0.1;-0.06;0;;2.6;-0.2
SO2;uur;µg/m³;20180103 07:00;20180103 08:00;7.3;3.8;6.1;3.7;;;0.16;;-1.39;0.09;-0.11;0;3.5;2;0.1
SO2;uur;µg/m³;20180103 08:00;20180103 09:00;5.5;2.1;5.6;2.3;;;0.14;;-0.29;0.04;-0.1;0;1.6;1.8;0
SO2;uur;µg/m³;20180103 09:00;20180103 10:00;5.6;1.5;5.3;3.5;;;0.15;;-0.01;0.17;-0.11;0;2.6;2.7;-0.1
