Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01495;NL01496;NL10133;NL10318;NL10444;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20200104 16:00;20200104 17:00;3.8;25.2;1.2;0.4;0.58;0.05;0.53;0.2;0.21;0.11;0.2;;1.6;2.5
SO2;uur;µg/m³;20200104 17:00;20200104 18:00;3.2;15.1;0.9;0.3;0.65;0.06;0.49;0.11;0.25;0.14;0.1;;0.9;2.1
SO2;uur;µg/m³;20200104 18:00;20200104 19:00;4.1;7.1;0.7;0.4;0.56;0.04;0.46;0.04;0.23;0.13;0.1;;0.9;3.8
SO2;uur;µg/m³;20200104 19:00;20200104 20:00;3.4;22;0.5;0.3;0.58;0.05;0.52;0.1;0.23;0.13;0;;0.3;1.5
SO2;uur;µg/m³;20200104 20:00;20200104 21:00;1.2;4.6;0.2;0.2;0.54;0.02;0.45;0.11;0.21;0.11;0;;0.3;1
SO2;uur;µg/m³;20200104 21:00;20200104 22:00;1.1;3.2;0.4;0.4;0.49;0.03;0.43;0.1;0.2;0.13;0;;0.6;0.9
SO2;uur;µg/m³;20200104 22:00;20200104 23:00;2.6;9.7;0.4;3.1;0.41;0.04;0.45;0.08;0.18;0.15;0;;0.5;0.9
SO2;uur;µg/m³;20200104 23:00;20200105 00:00;3.6;12;0.4;1;0.34;-0.02;0.52;0.09;0.18;0.16;0;;1.1;0.8
SO2;uur;µg/m³;20200105 00:00;20200105 01:00;4.2;5.6;4.1;0.7;0.33;0.03;0.54;0.06;0.18;0.13;0;;0.4;0.7
SO2;uur;µg/m³;20200105 01:00;20200105 02:00;3.3;2.6;1.9;2.1;0.27;0.02;0.57;0.09;0.16;0.12;0;;1.4;0.5
SO2;uur;µg/m³;20200105 02:00;20200105 03:00;3.5;1;1.8;1.2;0.34;0.03;0.53;0.12;0.17;0.13;0;;0.3;0.4
SO2;uur;µg/m³;20200105 03:00;20200105 04:00;1.6;0.9;2.6;2.6;0.43;0.07;0.5;0.24;0.2;0.17;-0.1;;0.8;0.4
SO2;uur;µg/m³;20200105 04:00;20200105 05:00;0.7;0.5;2.6;1.6;0.59;-0.04;0.42;0.23;-0.06;-0.27;-0.1;;;0.4
SO2;uur;µg/m³;20200105 05:00;20200105 06:00;0.5;0.1;2.1;1.3;0.51;-0.03;0.38;0.16;-0.05;-0.27;-0.1;;1.8;0.4
SO2;uur;µg/m³;20200105 06:00;20200105 07:00;-1;0.1;1.7;1.1;;;;;;;-0.1;;1.3;0.4
SO2;uur;µg/m³;20200105 07:00;20200105 08:00;0.2;0.2;2.4;1.4;0.61;0.13;0.42;0.32;0.09;-0.13;-0.1;;1.2;0.4
SO2;uur;µg/m³;20200105 08:00;20200105 09:00;0.2;0;2.1;1.1;0.73;0.04;0.43;0.22;0.03;-0.21;-0.1;;0.9;0.4
SO2;uur;µg/m³;20200105 09:00;20200105 10:00;0.7;0.1;1.9;0.8;1.2;0.02;0.53;0.27;0.01;-0.14;0;;2.9;0.4
SO2;uur;µg/m³;20200105 10:00;20200105 11:00;0.8;0.1;2.2;1;1.1;0.04;0.54;0.4;0.08;-0.07;-0.1;;3.1;0.4
SO2;uur;µg/m³;20200105 11:00;20200105 12:00;0.7;0.5;2.1;1.1;1.42;0.07;0.75;0.74;0.22;0;0;;1.3;0.5
