Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01496;NL10133;NL10318;NL10444;NL10644;NL10722;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20220103 19:00;20220103 20:00;2.1;0.9;0;-0.01;0.25;0.14;0.21;-0.15;-0.19;0;2.1;2.7;0.1
SO2;uur;µg/m³;20220103 20:00;20220103 21:00;2.8;0.8;0;-0.04;0.29;0.18;0.17;-0.14;-0.17;0;1.4;1.7;2.2
SO2;uur;µg/m³;20220103 21:00;20220103 22:00;3.4;0.7;0.4;0.01;0.22;0.13;0.12;-0.11;-0.15;0;1.6;2.1;0.9
SO2;uur;µg/m³;20220103 22:00;20220103 23:00;2.1;0.7;0.5;-0.03;0.24;0.16;0.1;-0.13;-0.17;0.1;1.8;1.8;1
SO2;uur;µg/m³;20220103 23:00;20220104 00:00;2.6;0.9;0.2;0.05;0.19;0.2;0.07;-0.2;-0.16;0.1;1.4;1.7;0.6
SO2;uur;µg/m³;20220104 00:00;20220104 01:00;3;1;0.6;-0.04;0.23;0.29;0.06;-0.23;-0.13;0.1;1.3;2.7;0.4
SO2;uur;µg/m³;20220104 01:00;20220104 02:00;6.6;1;0.5;-0.05;0.2;0.61;0.04;-0.24;-0.1;0.1;1.9;2.2;0.9
SO2;uur;µg/m³;20220104 02:00;20220104 03:00;5.5;0.6;0.4;-0.05;0.18;0.65;0.03;-0.22;-0.13;0.2;2.2;2.1;1.3
SO2;uur;µg/m³;20220104 03:00;20220104 04:00;3.1;0.8;0.5;-0.09;0.22;0.44;0.04;-0.25;-0.14;0.1;2.2;0;1.4
SO2;uur;µg/m³;20220104 04:00;20220104 05:00;7.1;0.8;0.8;-0.13;0.12;0.78;0.3;0.17;0.22;0.1;2.3;1;1.3
