Export;EXP-2023-01 (20230706 17:18);;;StationsCode;NL10742
Periode;20170101 00:00 - 20180101 00:00;;;BeheerderMeetStation;RIVM
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Nijmegen-Ruyterstraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.838221,5.856938)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad
;;;;StationsType;achtergrond
;;;;Meetprincipe;Reflectometrie
;;;;Meetopstelling;ETL-SX200
;;;;Accreditatienummer;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10742
ZWR;dag;µg/m³;20170522 00:00;20170523 00:00;
ZWR;dag;µg/m³;20170523 00:00;20170524 00:00;
ZWR;dag;µg/m³;20170524 00:00;20170525 00:00;
ZWR;dag;µg/m³;20170525 00:00;20170526 00:00;
ZWR;dag;µg/m³;20170526 00:00;20170527 00:00;
ZWR;dag;µg/m³;20170527 00:00;20170528 00:00;
ZWR;dag;µg/m³;20170528 00:00;20170529 00:00;
ZWR;dag;µg/m³;20170529 00:00;20170530 00:00;
ZWR;dag;µg/m³;20170530 00:00;20170531 00:00;
ZWR;dag;µg/m³;20170531 00:00;20170601 00:00;
ZWR;dag;µg/m³;20170601 00:00;20170602 00:00;
ZWR;dag;µg/m³;20170602 00:00;20170603 00:00;
ZWR;dag;µg/m³;20170603 00:00;20170604 00:00;
ZWR;dag;µg/m³;20170604 00:00;20170605 00:00;
ZWR;dag;µg/m³;20170605 00:00;20170606 00:00;
ZWR;dag;µg/m³;20170606 00:00;20170607 00:00;
ZWR;dag;µg/m³;20170607 00:00;20170608 00:00;
ZWR;dag;µg/m³;20170608 00:00;20170609 00:00;
ZWR;dag;µg/m³;20170609 00:00;20170610 00:00;
ZWR;dag;µg/m³;20170610 00:00;20170611 00:00;
ZWR;dag;µg/m³;20170611 00:00;20170612 00:00;
ZWR;dag;µg/m³;20170612 00:00;20170613 00:00;
ZWR;dag;µg/m³;20170613 00:00;20170614 00:00;
ZWR;dag;µg/m³;20170614 00:00;20170615 00:00;
ZWR;dag;µg/m³;20170615 00:00;20170616 00:00;
ZWR;dag;µg/m³;20170616 00:00;20170617 00:00;
ZWR;dag;µg/m³;20170617 00:00;20170618 00:00;
ZWR;dag;µg/m³;20170618 00:00;20170619 00:00;
ZWR;dag;µg/m³;20170619 00:00;20170620 00:00;
ZWR;dag;µg/m³;20170620 00:00;20170621 00:00;
ZWR;dag;µg/m³;20170621 00:00;20170622 00:00;
ZWR;dag;µg/m³;20170622 00:00;20170623 00:00;
ZWR;dag;µg/m³;20170623 00:00;20170624 00:00;
ZWR;dag;µg/m³;20170624 00:00;20170625 00:00;
ZWR;dag;µg/m³;20170625 00:00;20170626 00:00;
ZWR;dag;µg/m³;20170626 00:00;20170627 00:00;
ZWR;dag;µg/m³;20170627 00:00;20170628 00:00;
ZWR;dag;µg/m³;20170628 00:00;20170629 00:00;
ZWR;dag;µg/m³;20170629 00:00;20170630 00:00;
ZWR;dag;µg/m³;20170630 00:00;20170701 00:00;
ZWR;dag;µg/m³;20170701 00:00;20170702 00:00;
ZWR;dag;µg/m³;20170702 00:00;20170703 00:00;
ZWR;dag;µg/m³;20170703 00:00;20170704 00:00;
ZWR;dag;µg/m³;20170704 00:00;20170705 00:00;
ZWR;dag;µg/m³;20170705 00:00;20170706 00:00;
ZWR;dag;µg/m³;20170706 00:00;20170707 00:00;
ZWR;dag;µg/m³;20170707 00:00;20170708 00:00;
ZWR;dag;µg/m³;20170708 00:00;20170709 00:00;
ZWR;dag;µg/m³;20170709 00:00;20170710 00:00;
ZWR;dag;µg/m³;20170710 00:00;20170711 00:00;
ZWR;dag;µg/m³;20170711 00:00;20170712 00:00;
ZWR;dag;µg/m³;20170712 00:00;20170713 00:00;
ZWR;dag;µg/m³;20170713 00:00;20170714 00:00;
ZWR;dag;µg/m³;20170714 00:00;20170715 00:00;
ZWR;dag;µg/m³;20170715 00:00;20170716 00:00;
ZWR;dag;µg/m³;20170716 00:00;20170717 00:00;
ZWR;dag;µg/m³;20170717 00:00;20170718 00:00;
ZWR;dag;µg/m³;20170718 00:00;20170719 00:00;
ZWR;dag;µg/m³;20170719 00:00;20170720 00:00;
ZWR;dag;µg/m³;20170720 00:00;20170721 00:00;
ZWR;dag;µg/m³;20170721 00:00;20170722 00:00;
ZWR;dag;µg/m³;20170722 00:00;20170723 00:00;
ZWR;dag;µg/m³;20170723 00:00;20170724 00:00;
ZWR;dag;µg/m³;20170724 00:00;20170725 00:00;
ZWR;dag;µg/m³;20170725 00:00;20170726 00:00;
ZWR;dag;µg/m³;20170726 00:00;20170727 00:00;
ZWR;dag;µg/m³;20170727 00:00;20170728 00:00;
ZWR;dag;µg/m³;20170728 00:00;20170729 00:00;
ZWR;dag;µg/m³;20170729 00:00;20170730 00:00;
ZWR;dag;µg/m³;20170730 00:00;20170731 00:00;
ZWR;dag;µg/m³;20170731 00:00;20170801 00:00;
ZWR;dag;µg/m³;20170801 00:00;20170802 00:00;
ZWR;dag;µg/m³;20170802 00:00;20170803 00:00;
ZWR;dag;µg/m³;20170803 00:00;20170804 00:00;
ZWR;dag;µg/m³;20170804 00:00;20170805 00:00;
ZWR;dag;µg/m³;20170805 00:00;20170806 00:00;
ZWR;dag;µg/m³;20170806 00:00;20170807 00:00;
ZWR;dag;µg/m³;20170807 00:00;20170808 00:00;
ZWR;dag;µg/m³;20170808 00:00;20170809 00:00;
ZWR;dag;µg/m³;20170809 00:00;20170810 00:00;
ZWR;dag;µg/m³;20170810 00:00;20170811 00:00;
