Export;EXP-2023-01 (20230705 21:24);;;StationsCode;NL49551;NL49553
Periode;20220101 00:00 - 20230101 00:00;;;BeheerderMeetStation;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(52.463039,4.601842);(52.493992,4.601986)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad
;;;;StationsType;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;H2S metingen met een Thermo monitor;H2S metingen met een Thermo monitor
;;;;Accreditatienummer;nvt;nvt
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL49551;NL49553
H2S;uur;µg/m³;20220105 09:00;20220105 10:00;1.3;0.5
H2S;uur;µg/m³;20220105 10:00;20220105 11:00;1.4;0.7
H2S;uur;µg/m³;20220105 11:00;20220105 12:00;1.2;
H2S;uur;µg/m³;20220105 12:00;20220105 13:00;1.4;0.7
H2S;uur;µg/m³;20220105 13:00;20220105 14:00;1.5;0.4
H2S;uur;µg/m³;20220105 14:00;20220105 15:00;1.1;0.6
H2S;uur;µg/m³;20220105 15:00;20220105 16:00;1.4;0.7
H2S;uur;µg/m³;20220105 16:00;20220105 17:00;3.4;0.4
H2S;uur;µg/m³;20220105 17:00;20220105 18:00;3.7;0.7
H2S;uur;µg/m³;20220105 18:00;20220105 19:00;1.9;0.7
H2S;uur;µg/m³;20220105 19:00;20220105 20:00;4;0.3
H2S;uur;µg/m³;20220105 20:00;20220105 21:00;4.2;0.5
H2S;uur;µg/m³;20220105 21:00;20220105 22:00;3;0.6
H2S;uur;µg/m³;20220105 22:00;20220105 23:00;2.7;0.5
H2S;uur;µg/m³;20220105 23:00;20220106 00:00;3.6;0.4
H2S;uur;µg/m³;20220106 00:00;20220106 01:00;3.5;0.5
H2S;uur;µg/m³;20220106 01:00;20220106 02:00;2.8;0.5
H2S;uur;µg/m³;20220106 02:00;20220106 03:00;6.7;0.6
H2S;uur;µg/m³;20220106 03:00;20220106 04:00;8.7;0.7
H2S;uur;µg/m³;20220106 04:00;20220106 05:00;4.4;0.2
H2S;uur;µg/m³;20220106 05:00;20220106 06:00;1.7;0.4
H2S;uur;µg/m³;20220106 06:00;20220106 07:00;3;0.4
H2S;uur;µg/m³;20220106 07:00;20220106 08:00;1.4;0.6
H2S;uur;µg/m³;20220106 08:00;20220106 09:00;1.4;0.5
H2S;uur;µg/m³;20220106 09:00;20220106 10:00;1.6;0.3
H2S;uur;µg/m³;20220106 10:00;20220106 11:00;1.5;0.3
H2S;uur;µg/m³;20220106 11:00;20220106 12:00;1.3;0.4
H2S;uur;µg/m³;20220106 12:00;20220106 13:00;1.2;1.5
H2S;uur;µg/m³;20220106 13:00;20220106 14:00;1.7;0.7
H2S;uur;µg/m³;20220106 14:00;20220106 15:00;1.3;0.6
H2S;uur;µg/m³;20220106 15:00;20220106 16:00;;1.6
H2S;uur;µg/m³;20220106 16:00;20220106 17:00;1.3;0.9
H2S;uur;µg/m³;20220106 17:00;20220106 18:00;1.2;0.8
H2S;uur;µg/m³;20220106 18:00;20220106 19:00;1.3;0.5
H2S;uur;µg/m³;20220106 19:00;20220106 20:00;1.4;3.5
H2S;uur;µg/m³;20220106 20:00;20220106 21:00;1.8;0.7
H2S;uur;µg/m³;20220106 21:00;20220106 22:00;1.3;1.9
H2S;uur;µg/m³;20220106 22:00;20220106 23:00;1.2;5.5
H2S;uur;µg/m³;20220106 23:00;20220107 00:00;1;2.8
H2S;uur;µg/m³;20220107 00:00;20220107 01:00;1;2.9
H2S;uur;µg/m³;20220107 01:00;20220107 02:00;1.4;2.8
H2S;uur;µg/m³;20220107 02:00;20220107 03:00;1.4;2.2
H2S;uur;µg/m³;20220107 03:00;20220107 04:00;1.5;4.8
H2S;uur;µg/m³;20220107 04:00;20220107 05:00;1.3;2.2
H2S;uur;µg/m³;20220107 05:00;20220107 06:00;1.1;1.4
H2S;uur;µg/m³;20220107 06:00;20220107 07:00;1.4;2
H2S;uur;µg/m³;20220107 07:00;20220107 08:00;1;0.5
H2S;uur;µg/m³;20220107 08:00;20220107 09:00;1.2;0.6
H2S;uur;µg/m³;20220107 09:00;20220107 10:00;1.7;0.2
H2S;uur;µg/m³;20220107 10:00;20220107 11:00;1;0.4
H2S;uur;µg/m³;20220107 11:00;20220107 12:00;1.7;0.3
H2S;uur;µg/m³;20220107 12:00;20220107 13:00;1.3;0.4
H2S;uur;µg/m³;20220107 13:00;20220107 14:00;0.9;
H2S;uur;µg/m³;20220107 14:00;20220107 15:00;1;0.2
H2S;uur;µg/m³;20220107 15:00;20220107 16:00;1.4;0.6
H2S;uur;µg/m³;20220107 16:00;20220107 17:00;1.6;0.3
H2S;uur;µg/m³;20220107 17:00;20220107 18:00;1.6;0.4
H2S;uur;µg/m³;20220107 18:00;20220107 19:00;1.7;0.5
H2S;uur;µg/m³;20220107 19:00;20220107 20:00;1;0.5
H2S;uur;µg/m³;20220107 20:00;20220107 21:00;1.2;0.7
H2S;uur;µg/m³;20220107 21:00;20220107 22:00;1.6;0.5
H2S;uur;µg/m³;20220107 22:00;20220107 23:00;1.4;0.7
H2S;uur;µg/m³;20220107 23:00;20220108 00:00;0.8;0.3
H2S;uur;µg/m³;20220108 00:00;20220108 01:00;1.7;0.2
H2S;uur;µg/m³;20220108 01:00;20220108 02:00;1.5;0.8
H2S;uur;µg/m³;20220108 02:00;20220108 03:00;1.3;0.8
H2S;uur;µg/m³;20220108 03:00;20220108 04:00;1.1;0.3
H2S;uur;µg/m³;20220108 04:00;20220108 05:00;1.2;0.3
H2S;uur;µg/m³;20220108 05:00;20220108 06:00;1.7;0.6
H2S;uur;µg/m³;20220108 06:00;20220108 07:00;0.9;0.6
H2S;uur;µg/m³;20220108 07:00;20220108 08:00;1.5;0.3
H2S;uur;µg/m³;20220108 08:00;20220108 09:00;0.7;0.5
H2S;uur;µg/m³;20220108 09:00;20220108 10:00;1.2;0.5
H2S;uur;µg/m³;20220108 10:00;20220108 11:00;1.4;2.1
H2S;uur;µg/m³;20220108 11:00;20220108 12:00;1.2;0.6
H2S;uur;µg/m³;20220108 12:00;20220108 13:00;1.1;0.6
H2S;uur;µg/m³;20220108 13:00;20220108 14:00;1.3;1.3
H2S;uur;µg/m³;20220108 14:00;20220108 15:00;1.2;0.6
H2S;uur;µg/m³;20220108 15:00;20220108 16:00;1.6;0.6
H2S;uur;µg/m³;20220108 16:00;20220108 17:00;1.3;1.3
H2S;uur;µg/m³;20220108 17:00;20220108 18:00;;0.9
H2S;uur;µg/m³;20220108 18:00;20220108 19:00;1.1;0.9
H2S;uur;µg/m³;20220108 19:00;20220108 20:00;2.1;1.5
H2S;uur;µg/m³;20220108 20:00;20220108 21:00;1.3;2.6
H2S;uur;µg/m³;20220108 21:00;20220108 22:00;1.5;3.2
H2S;uur;µg/m³;20220108 22:00;20220108 23:00;1.8;1.3
H2S;uur;µg/m³;20220108 23:00;20220109 00:00;0.8;0.6
H2S;uur;µg/m³;20220109 00:00;20220109 01:00;1.2;0.5
H2S;uur;µg/m³;20220109 01:00;20220109 02:00;1.4;0.4
H2S;uur;µg/m³;20220109 02:00;20220109 03:00;1.3;0.4
H2S;uur;µg/m³;20220109 03:00;20220109 04:00;1.4;0.7
H2S;uur;µg/m³;20220109 04:00;20220109 05:00;1.5;0.6
H2S;uur;µg/m³;20220109 05:00;20220109 06:00;1.4;0.8
H2S;uur;µg/m³;20220109 06:00;20220109 07:00;0.9;0.6
H2S;uur;µg/m³;20220109 07:00;20220109 08:00;1.5;0.5
H2S;uur;µg/m³;20220109 08:00;20220109 09:00;1.1;0.6
H2S;uur;µg/m³;20220109 09:00;20220109 10:00;1.2;0.2
