Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;regionaal;stad;stad;stad;stad;stad;stad;stad
;;;;StationsType;achtergrond;verkeer;verkeer;verkeer;achtergrond;industrie;industrie;achtergrond
;;;;Meetprincipe;Niet-dispersieve infrarood (NDIR);Niet-dispersieve infrarood (NDIR);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC);Infrarood gasfiltercorrelatie (IR-GFC)
;;;;Meetopstelling;Thermo model 48w CO analyser              ;Thermo model 48w CO analyser              ;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser;Teledyne API T300 gas filter correlation CO analyser
;;;;Accreditatienummer;nvt;nvt;L426;L426;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10644;NL10741;NL49007;NL49012;NL49014;NL49551;NL49553;NL49561
CO;uur;µg/m³;20200103 08:00;20200103 09:00;233;254.72;298.8;352;207.6;152.9;274.9;310.8
CO;uur;µg/m³;20200103 09:00;20200103 10:00;252.3;241.71;299.8;318.7;206.1;151.7;203.9;301.2
CO;uur;µg/m³;20200103 10:00;20200103 11:00;258.32;253.5;268.6;335.3;209.7;;189.6;294.1
CO;uur;µg/m³;20200103 11:00;20200103 12:00;243.94;257.46;240.9;297.4;213.5;;180.6;262.4
CO;uur;µg/m³;20200103 12:00;20200103 13:00;247.11;302.08;237.9;248.1;199.9;;198.6;244.4
CO;uur;µg/m³;20200103 13:00;20200103 14:00;261.55;364.08;240.9;364.2;218.6;;189.4;268
CO;uur;µg/m³;20200103 14:00;20200103 15:00;231.9;314.38;285.3;311.2;257;;153.5;282.3
CO;uur;µg/m³;20200103 15:00;20200103 16:00;216.1;308.99;265.5;195.4;231.2;;144.7;261.9
CO;uur;µg/m³;20200103 16:00;20200103 17:00;242.85;367.64;262.4;219.4;254.1;;144.8;266.7
CO;uur;µg/m³;20200103 17:00;20200103 18:00;223.84;617.89;247.6;213.6;253.2;;147;272.6
CO;uur;µg/m³;20200103 18:00;20200103 19:00;224.44;482.19;230.2;214.5;247.2;;149.1;256.9
CO;uur;µg/m³;20200103 19:00;20200103 20:00;210.94;326.48;226.5;231.8;280.5;;148.1;439.9
CO;uur;µg/m³;20200103 20:00;20200103 21:00;237.57;334;218.1;217.4;225.4;;148.5;315.7
CO;uur;µg/m³;20200103 21:00;20200103 22:00;273.06;358.7;304.9;292.1;245.8;;166.4;257
CO;uur;µg/m³;20200103 22:00;20200103 23:00;235.58;397.53;252;225.5;219.6;;168.1;262.4
CO;uur;µg/m³;20200103 23:00;20200104 00:00;223.37;298.69;223.1;192.5;190.5;;168.7;235
CO;uur;µg/m³;20200104 00:00;20200104 01:00;215.25;288.79;246.4;207.2;185.2;;174.5;241.7
CO;uur;µg/m³;20200104 01:00;20200104 02:00;;279.31;240;193.1;180;;155.2;232.4
CO;uur;µg/m³;20200104 02:00;20200104 03:00;172.15;255.53;194.6;203.1;157.4;;159.6;224.6
CO;uur;µg/m³;20200104 03:00;20200104 04:00;170.26;218.13;194.4;191.9;155.1;;155.9;226.7
CO;uur;µg/m³;20200104 04:00;20200104 05:00;144.28;203.9;194.4;188.2;155.1;;154.8;229.7
CO;uur;µg/m³;20200104 05:00;20200104 06:00;153.87;204.91;194.4;189.1;177.7;;156.8;228.2
CO;uur;µg/m³;20200104 06:00;20200104 07:00;157.02;196.99;205.3;203.3;187.7;;155.1;242.4
CO;uur;µg/m³;20200104 07:00;20200104 08:00;154.76;216.4;205;186.4;190.2;;157.5;239.5
CO;uur;µg/m³;20200104 08:00;20200104 09:00;175.04;238.05;215.3;183.7;203.1;;162.5;241.2
CO;uur;µg/m³;20200104 09:00;20200104 10:00;175.33;233.68;216.1;193.6;216;;159.5;233.2
CO;uur;µg/m³;20200104 10:00;20200104 11:00;175.93;282.87;220;206.3;220;;167.1;239.3
CO;uur;µg/m³;20200104 11:00;20200104 12:00;188.24;311.74;228.4;202.3;217;;173.4;249.9
CO;uur;µg/m³;20200104 12:00;20200104 13:00;186.2;286.12;239.6;226;222.1;;163.7;247.2
