Export;EXP-2023-01 (20230706 15:28);;;StationsCode;NL01484;NL01485;NL01495;NL01496;NL10318;NL10444;NL10444;NL10644;NL10722;NL10722;NL10934;NL10934;NL49016;NL49551;NL49553;NL49704
Periode;20170101 00:00 - 20180101 00:00;;;BeheerderMeetStation;DCMR;DCMR;DCMR;DCMR;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Botlek-Oude Maasweg;Hoogvliet-Leemkuil;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Philippine-Stelleweg;De Zilk-Vogelaarsdreef;De Zilk-Vogelaarsdreef;Cabauw-Wielsekade;Eibergen-Lintveldseweg;Eibergen-Lintveldseweg;Kollumerwaard-Hooge Zuidwal;Kollumerwaard-Hooge Zuidwal;Amsterdam-Westerpark;IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat;Amsterdam-Hoogtij
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.888889,4.3125);(51.867411,4.355242);(51.932039,4.228025);(51.977803,4.121944);(51.294498,3.749484);(52.296556,4.510817);(52.296556,4.510817);(51.974489,4.923301);(52.091801,6.605367);(52.091801,6.605367);(53.330425,6.276815);(53.330425,6.276815);(52.393972,4.870157);(52.463039,4.601842);(52.493992,4.601986);(52.428017,4.773478)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;voorstad;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;regionaal
;;;;StationsType;industrie;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie;industrie;industrie
;;;;Meetprincipe;Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F);Ultraviolet fluorescentie (UV-F)
;;;;Meetopstelling;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Teledyne API 100E UV Fluorescent SO2 Analyser;Thermo model 43w SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43w SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser;Thermo model 43i SO2 analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L224;L224;L224;L224;L224;L224;L224;L224;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01484;NL01485;NL01495;NL01496;NL10318;NL10444;NL10444;NL10644;NL10722;NL10722;NL10934;NL10934;NL49016;NL49551;NL49553;NL49704
SO2;uur;µg/m³;20170104 04:00;20170104 05:00;6.6;9.9;2.8;3.4;0.99;-0.06;;0.27;-0.07;;-0.29;;1.4;-0.7;0.9;1.2
SO2;uur;µg/m³;20170104 05:00;20170104 06:00;3.7;4.9;2.7;1.8;1.13;-0.46;;0.48;0.01;;-0.44;;1.1;5.2;1;0.7
SO2;uur;µg/m³;20170104 06:00;20170104 07:00;3.5;9.1;2.4;2.5;0.88;-0.42;;0.58;0.37;;-0.17;;1;1.8;0.6;0.5
SO2;uur;µg/m³;20170104 07:00;20170104 08:00;3.4;11.5;2.1;3.4;0.71;-0.46;;0.38;0.51;;-0.54;;0.9;5.4;1.1;0.4
SO2;uur;µg/m³;20170104 08:00;20170104 09:00;2.9;14.1;1.7;2.1;0.82;-0.47;;0.18;0.2;;-0.43;;0.9;10.1;;0.4
SO2;uur;µg/m³;20170104 09:00;20170104 10:00;3.1;10.6;1.4;2.6;0.81;-0.45;;0.43;0.94;;-0.15;;0.6;8.8;-1.1;0.5
SO2;uur;µg/m³;20170104 10:00;20170104 11:00;2.8;10.8;1;2.8;1.12;-0.28;;0.54;0.4;;-0.14;;0.8;6.9;-1.5;0.4
SO2;uur;µg/m³;20170104 11:00;20170104 12:00;3;11.6;1.4;2;1.09;-0.08;;0.14;0.93;;-0.39;;0.6;9.8;-0.1;0.5
SO2;uur;µg/m³;20170104 12:00;20170104 13:00;2.6;9.4;1.2;3.1;1.2;-0.27;;0.41;0.91;;-0.2;;0.5;11.7;-0.7;0.4
SO2;uur;µg/m³;20170104 13:00;20170104 14:00;2.5;7.1;1.4;2.8;1.03;-0.57;;0.36;0.77;;-0.68;;0.4;16.3;-0.7;0.6
SO2;uur;µg/m³;20170104 14:00;20170104 15:00;2.5;7.4;1.2;2.7;1.01;-0.34;;0.3;0.37;;0.1;;0.4;13.6;-0.8;0.4
SO2;uur;µg/m³;20170104 15:00;20170104 16:00;2.8;7.6;1;2.6;0.92;-0.41;;0.36;0.42;;-0.01;;0.3;21.3;-0.7;0.3
SO2;uur;µg/m³;20170104 16:00;20170104 17:00;2.4;4.3;1;2.5;1.13;-0.62;;0.55;0.62;;-0.4;;0.4;14.3;-1.1;0.4
SO2;uur;µg/m³;20170104 17:00;20170104 18:00;2.2;5.3;1.1;2.3;0.8;-0.46;;0.38;0.39;;0.05;;0.7;28.2;-1.4;0.4
SO2;uur;µg/m³;20170104 18:00;20170104 19:00;2.3;5.1;1;2.2;0.9;-0.4;;0.85;0.72;;0.23;;0.6;28;-0.6;0.5
SO2;uur;µg/m³;20170104 19:00;20170104 20:00;2;7.5;0.8;2;0.93;-0.32;;0.72;0.71;;-0.09;;0.4;27.1;-0.7;0.4
SO2;uur;µg/m³;20170104 20:00;20170104 21:00;2.6;2.2;1.1;2.1;1.35;-0.44;;0.59;1.06;;-0.09;;0.3;8.6;-0.4;0.3
SO2;uur;µg/m³;20170104 21:00;20170104 22:00;2;1.9;0.3;1.2;0.88;-0.48;;0.59;0.62;;0;;0.2;13.7;-1.1;0.3
SO2;uur;µg/m³;20170104 22:00;20170104 23:00;2.3;1.9;0.6;1.7;0.55;-0.7;;0.24;1.45;;-0.01;;0.5;20.4;-0.3;0.5
SO2;uur;µg/m³;20170104 23:00;20170105 00:00;2;1.6;0;0.9;0.64;-0.61;;0.65;1.46;;0.2;;0.3;18.4;0.1;0.2
SO2;uur;µg/m³;20170105 00:00;20170105 01:00;1.6;4.9;-0.6;1.3;0.89;0.33;;0.67;1.35;;-0.95;;0.7;21.7;-1.6;0.4
SO2;uur;µg/m³;20170105 01:00;20170105 02:00;2.1;2.2;0.5;1.7;0.86;0.67;;0.19;0.71;;-1.2;;0.7;33.2;-0.5;0.3
SO2;uur;µg/m³;20170105 02:00;20170105 03:00;1.8;1.9;0.7;2.2;0.65;0.49;;0.08;0.76;;-0.85;;0.5;12.6;-0.9;0.4
SO2;uur;µg/m³;20170105 03:00;20170105 04:00;1.9;1.5;-0.4;1.6;0.46;0.64;;0.22;0.87;;-1.02;;0.6;5.7;-1;0
SO2;uur;µg/m³;20170105 04:00;20170105 05:00;2.1;1.8;-0.8;1.2;1.03;0.08;;0.11;0.79;;-1.52;;0.5;2.7;-0.2;0.1
SO2;uur;µg/m³;20170105 05:00;20170105 06:00;1.9;2.7;0.2;1.2;0.65;0.7;;0.06;1.36;;-0.71;;0.9;1.6;-0.8;0.2
SO2;uur;µg/m³;20170105 06:00;20170105 07:00;1;3.8;0.3;1.4;1.92;1.28;;0.06;1.15;;-1.13;;1.4;6.3;-0.7;-0.1
